"position","player","dob","club","country"
"FW","Luis Suarez","January 24, 1987","Nacional","Uruguay"
"FW","Edinson Cavani","February 14, 1987","Valencia","Uruguay"
"FW","Maxi Gomez","August 14, 1996","Trabzonspor","Uruguay"
"FW","Darwin Nunez","June 24, 1999","Liverpool","Uruguay"
"FW","Facundo Pellistri","December 20, 2001","Manchester United","Uruguay"
"FW","Agustin Canobbio","October 1, 1998","Athletico Paranaense","Uruguay"
"GK","Kim Seung-gyu","September 30, 1990","Al Shabab","South Korea"
"GK","Jo Hyeon-woon","September 25, 1991","Ulsan Hyundai","South Korea"
"GK","Song Bum-keun","October 15, 1997","Jeonbuk Hyundai Motors","South Korea"
"DF","Kim Min-jae","November 15, 1996","Napoli","South Korea"
"DF","Kim Jin-su","June 13, 1992","Jeonbuk Hyundai Motors","South Korea"
"DF","Hong Chul","September 17, 1990","Daegu FC","South Korea"
"DF","Kim Moon-hwan","August 1, 1995","Jeonbuk Hyundai Motors","South Korea"
"DF","Yoon Jong-gyu","March 20, 1998","FC Seoul","South Korea"
"DF","Kim Young-gwon","February 27, 1990","Ulsan Hyundai","South Korea"
"DF","Kim Tae-hwan","July 24, 1989","Ulsan Hyundai","South Korea"
"DF","Kwon Kyung-won","January 31, 1992","Gamba Osaka","South Korea"
"DF","Cho Yu-min","November 17, 1996","Daejon Citizen","South Korea"
"MF","Jung Woo-young","

December 14, 1989

","Al Sadd","South Korea"
"MF","Na Sang-ho","August 12, 1996","FC Seoul","South Korea"
"MF","Paik Seung-ho","March 17, 1997","Jeonbuk Hyundai Motors","South Korea"
"MF","Son Jun-ho","May 12, 1992","Shandong Taishan","South Korea"
"MF","Song Min-kyu","September 12, 1999","Jeonbuk Hyundai Motors","South Korea"
"MF","Kwon Chang-hoon","June 30, 1994","Gimcheon Sangmu","South Korea"
"MF","Lee Jae-sung","August 10, 1992","Mainz","South Korea"
"MF","Hwang In-beom","September 20, 1996","Olympiacos","South Korea"
"MF","Lee Kang-in","February 19, 2001","Mallorca","South Korea"
"FW","Son Heung-min","July 8, 1992","Tottenham Hotspur","South Korea"
"FW","Hwang Hee-chan","January 26, 1996","Wolverhampton Wanderers","South Korea"
"FW","Jeong Woo-yeong","September 20, 1999","Freiburg","South Korea"
"FW","Hwang Ui-jo","August 28, 1992","Olympiacos","South Korea"
"FW","Cho Gue-sung","January 25, 1998","Jeonbuk Hyundai Motors","South Korea"
